m-2,m-1,m1,m2,c-2,c-1,c1,c2,sens
investment,partnership,primarily,packaging,NN,NN,RB,NN,5
various,family,X,X,JJ,NN,X,X,5
estate,excited,ag,X,NN,VBN,NP,X,1
maker,lost,became,clear,NN,VBD,VBD,JJ,1
X,retains,acquiring,candies,X,VBZ,VBG,NNS,1
cathay,nXt,swapping,equity,NP,RB,VBG,NN,1
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
X,8X68,accrued,decX,X,AB,VBN,NP,6
arizona,businessman,real,estate,NP,NN,JJ,NN,5
way,preserving,constituents,X,NN,VBG,NNS,X,4
X,net,bill,jumped,X,JJ,NN,VBD,6
bond,corpX,brewing,X,NP,NP,NN,X,5
X,earnings,tax,brewing,X,NNS,NN,NN,6
reason,high,rates,labor,NN,JJ,NNS,NN,6
X,believe,rates,continue,X,VBP,NNS,VB,6
fact,X,buying,equities,NN,X,VBG,NNS,1
X,X,natural,environment,X,X,JJ,NN,1
62X5,PERCENT,X,messrsX,AB,NN,X,NPS,5
X,concern,rates,gas,POS,NN,NNS,NN,6
reserve,allow,rates,move,NP,VB,NNS,VB,6
soared,speculation,rates,would,VBD,NN,NNS,MD,6
changes,plus,income,X,NNS,CC,NN,X,6
longerXterm,bonds,rates,fall,JJR,NNS,NNS,VBP,6
met,strong,abroad,X,VBD,JJ,RB,X,1
loans,cut,rate,existing,NNS,VB,NN,VBG,6
recently,sold,liquidXcrystal,displays,RB,VBD,JJ,NNS,5
begins,let,rates,drift,VBZ,VB,NNS,VB,6
concern,lower,rates,general,NN,JJR,NNS,JJ,6
50,PERCENT,richmondXarea,shopping,AB,NN,JJ,NN,5
troubles,whipped,among,outsiders,NNS,VBN,IN,NNS,1
dingell,special,nih,institutions,NP,JJ,NP,NNS,4
last,rise,rates,earlier,JJ,NN,NNS,RBR,6
prepared,increase,rates,necessary,VBN,VB,NNS,JJ,6
government,decide,rates,dollar,NN,VB,NNS,NN,6
generally,thin,ahead,weekend,RB,JJ,RB,NN,1
X,X,may,remain,X,X,MD,VB,1
high,shortXterm,rates,X,JJ,JJ,NNS,X,6
curbs,bank,rates,allow,NNS,NN,NNS,VB,6
might,use,platform,launch,MD,VB,NN,VB,5
36,PERCENT,country,Xs,AB,NN,NN,POS,5
receive,minority,new,company,VB,NN,JJ,NN,5
controlling,ownership,X,X,JJ,NN,X,X,5
pursue,business,X,company,VB,NN,X,NN,3
54,PERCENT,manhattan,national,AB,NN,NP,NP,5
proposal,well,XX,third,NN,RB,XX,JJ,1
X,abandoned,X,X,X,VBN,X,X,4
regulation,introduced,protecting,little,NN,VBN,VBG,JJ,4
lack,investor,X,responsible,NN,NN,X,JJ,1
solid,investor,X,X,JJ,NN,X,X,1
said,little,treasury,bonds,VBD,JJ,NP,NNS,1
greater,buying,metal,X,JJR,NN,NN,X,1
sparked,buying,realXestate,companies,VBD,NN,NN,NNS,1
kluge,X,telecommunications,X,NP,X,NN,X,5
longer,representing,X,X,RBR,VBG,X,X,4
significant,buying,X,X,JJ,NN,X,X,1
fresh,buying,sidelined,ahead,JJ,NN,VBN,RB,1
strong,buying,X,helped,JJ,NN,X,VBD,1
XX,parties,X,XX,XX,NNS,X,XX,5
diminished,national,teams,came,VBN,JJ,NNS,VBD,2
XX,whose,represented,three,X,WPX,VBN,AB,5
XX,considerable,XX,prospective,XX,JJ,XX,JJ,1
X,uXsX,stake,happily,X,NP,NN,RB,4
notes,accumulate,notes,nXt,NNS,VBP,NNS,RB,6
nXt,mention,horse,racing,RB,VB,NN,NN,1
japanese,investor,uXsX,securities,JJ,NN,NP,NNS,1
X,buying,du,pont,X,NN,NP,NP,1
cash,coverage,XX,meaningfully,NN,NN,XX,RB,6
golfersXXX,general,magazine,something,X,JJ,NN,NN,3
XX,black,XX,could,XX,JJ,XX,MD,4
different,economic,X,X,JJ,JJ,X,X,3
X,addition,ozone,depletion,X,NN,NN,NN,1
overall,buying,remained,strong,JJ,NN,VBD,JJ,1
taxes,minority,extraordinary,items,NNS,NN,JJ,NNS,5
X,uXsX,may,big,X,NP,MD,JJ,1
uXsX,Xs,somalia,consists,NP,POS,NP,VBZ,4
usual,financial,property,sold,JJ,JJ,NN,VBN,5
customers,conflicts,X,X,NNS,NNS,X,X,4
definite,conflict,auction,house,JJ,NN,NN,NN,4
would,conflict,X,XX,MD,NN,X,XX,4
alleged,conflict,X,set,JJ,NN,X,VBN,4
X,conflicts,X,stabilize,X,NNS,X,VB,4
fees,conflicts,X,X,NNS,NNS,X,X,4
problems,conflict,risk,cheating,NNS,NN,NN,VBG,4
prevent,conflicts,X,already,VB,NNS,X,RB,4
builtXin,conflicts,X,X,JJ,NNS,X,X,4
XX,conflict,standard,committee,XX,NN,NN,NN,4
Xs,conflict,X,XX,VBZ,NN,X,XX,4
PERCENT,boost,expense,X,NN,NN,NN,X,6
fall,scientific,cold,fusion,NN,JJ,JJ,NN,1
company,X,television,X,NN,X,NN,X,5
moment,high,rates,determination,NN,JJ,NNS,NN,6
X,fixedXdollar,payments,X,POS,JJ,NNS,X,6
invest,companies,X,X,VB,NNS,X,X,5
X,pay,maturity,X,X,VBP,NN,X,6
bonds,inflation,rates,kick,NNS,NN,NNS,VBP,6
without,much,children,nXt,IN,JJ,NNS,RB,6
taxes,X,civil,fraud,NNS,X,JJ,NN,6
X,X,retirement,community,X,X,NN,NN,5
X,sold,oil,wells,X,VBN,NN,NNS,5
one,based,rates,company,AB,VBN,NNS,NN,6
XX,high,rate,prevail,X,JJ,NN,VB,6
XX,usually,rates,stay,X,RB,NNS,VBP,6
X,X,rates,plunge,X,X,NNS,VBP,6
marginally,higher,yield,X,RB,JJR,NN,X,6
fractionally,higher,rate,X,RB,JJR,NN,X,6
X,buying,also,resurfaced,X,NN,RB,VBD,1
using,high,rates,XX,VBG,JJ,NNS,XX,6
using,high,rates,fight,VBG,JJ,NNS,VB,6
despite,doubling,rates,last,IN,NN,NNS,JJ,6
X,XX,else,money,X,XX,RB,NN,1
see,lot,kind,things,VBP,NN,NN,NNS,1
X,short,new,york,X,JJ,NP,NP,5
month,short,X,X,NN,JJ,X,X,5
reported,short,dropped,523X920X214,VBD,JJ,VBD,AB,5
amex,short,climbed,3,NP,JJ,VBD,AB,5
amex,short,heading,upward,NP,JJ,VBG,RB,5
X,short,number,shares,X,JJ,NN,NNS,5
increase,short,bullish,borrowed,NN,JJ,JJ,VBN,5
fluctuation,short,certain,stocks,NN,JJ,JJ,NNS,5
board,short,ratio,slipped,NP,JJ,NN,VBD,5
X,short,international,business,X,JJ,NP,NP,5
X,short,slid,4X469X167,X,JJ,VBD,AB,5
amex,short,volume,leader,NP,JJ,NN,NN,5
issues,short,position,least,NNS,JJ,NN,JJS,5
X,include,costs,X,X,VB,NNS,X,6
relatively,attractive,rates,pushed,RB,JJ,NNS,VBD,6
X,provisions,payments,loans,X,NNS,NNS,NNS,6
made,foregone,mX,200,VBN,JJ,X,AB,6
data,sign,rates,may,NNS,NN,NNS,MD,6
pessimism,lower,rates,contributed,NN,JJR,NNS,VBD,6
allowed,key,rate,fall,VBN,JJ,NN,VB,6
X,watching,sport,plummet,X,VBG,NN,VB,1
seek,controlling,harleyXdavidson,X,VB,NN,NP,X,5
X,XX,rates,almost,X,XX,NNS,RB,6
X,falling,rates,force,X,VBG,NNS,VBP,6
pay,higher,newly,issued,VBP,JJR,RB,VBN,6
X,X,rates,dropped,X,X,NNS,VBN,6
X,save,costs,X,X,VBP,NNS,X,6
XX,doubts,rates,fall,XX,VBZ,NNS,VB,6
bonds,resettable,rate,10,NNS,JJ,NN,AB,6
raised,hopes,rates,continue,VBD,NNS,NNS,VB,6
overhead,debt,X,X,NN,NN,X,X,6
unsuccessfully,sell,lower,manhattan,RB,VB,JJR,NP,5
tried,sell,X,along,VBD,VB,X,IN,5
estate,Xs,X,shortly,NN,POS,X,RB,5
navy,enforce,X,pressuring,NN,VB,X,VBG,4
credits,financial,films,helped,NNS,JJ,NNS,VBN,5
warner,Xs,accommodate,mgmua,NP,POS,VB,NP,4
nXt,think,let,mrX,RB,VB,VB,NP,4
columbia,Xs,studio,jointly,NP,POS,NN,RB,5
moreover,X,assetXbacked,securities,RB,X,JJ,NNS,6
certificates,represent,specially,created,NNS,VBP,RB,VBN,5
XX,represent,obligations,banks,XX,VB,NNS,NNS,5
property,holds,139,facilities,NP,VBZ,AB,NNS,5
X,one,hit,hardest,X,AB,VBD,RBS,5
tokyoXbased,company,include,financial,JJ,NN,VBP,JJ,5
X,excluding,X,increased,X,VBG,X,VBD,6
clear,strategic,X,waiting,JJ,JJ,X,VBG,4
X,refinery,second,refinery,X,NN,JJ,NN,5
costXreduction,moves,income,X,JJ,NNS,NN,X,6
X,X,paid,semiXannually,X,X,VBN,RB,6
article,appears,user,X,NN,VBZ,NN,X,2
subscriber,Xs,area,X,NN,POS,NN,X,3
topic,X,abortion,issue,NN,X,NN,NN,1
rumors,soviet,also,pushed,NP,JJ,RB,VBD,1
newspapers,oneXthird,international,herald,NNS,JJ,NP,NP,5
leeway,reduce,rates,X,NN,VB,NNS,X,6
pursuit,private,X,X,NN,JJ,X,X,4
company,also,book,publishing,NN,RB,NN,NN,5
pursue,business,consulting,X,VB,NN,NN,X,3
XX,controlling,company,X,XX,VBG,NN,X,5
offset,decline,income,X,VBP,NN,NN,X,6
X,lower,income,occurred,X,JJR,NN,VBD,6
payments,minority,rose,252,NNS,NN,VBD,AB,5
payment,minority,X,X,NN,NN,X,X,5
revive,consumer,littleXpublicized,1972,VB,NN,JJ,AB,1
offering,oneXsixth,grace,energy,NN,JJ,NP,NP,5
X,higher,expenses,X,X,JJR,NNS,X,6
22,PERCENT,company,fletcher,AB,NN,NN,NP,5
doman,Xs,western,forest,NP,POS,NP,NP,5
44,PERCENT,western,forest,AB,NN,NP,NP,5
direction,uXsX,rates,remains,NN,NP,NNS,VBZ,6
XX,investor,switches,back,XX,NN,VBZ,RB,1
also,attracted,strong,earnings,RB,VBD,JJ,NNS,1
despite,flurry,shares,X,IN,NN,NNS,X,1
high,uXkX,rates,X,JJ,NP,NNS,X,6
face,high,rates,X,NN,JJ,NNS,X,6
nXt,best,stockholders,X,RB,JJS,NNS,X,4
speculation,lower,rates,X,NN,JJR,NNS,X,6
X,higher,margins,minor,X,JJR,NNS,JJ,6
board,short,fell,4X2,NP,JJ,VBD,AB,5
fresh,buying,later,trading,JJ,NN,RB,NN,1
predicting,X,rates,stay,VBG,X,NNS,VB,6
hotels,management,sold,auction,NNS,NN,VBN,NN,5
properties,management,nXt,disclosed,NNS,NN,RB,VBN,5
plans,sell,36,hotels,VBZ,VB,AB,NNS,5
excluded,sale,trust,corporation,VBN,NN,NN,NN,5
XX,expressions,XX,two,XX,NNS,XX,AB,1
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
volume,tighter,margins,X,NN,JJR,NNS,X,6
widened,X,expense,cited,VBD,X,NN,VBN,6
lower,net,expense,X,JJR,JJ,NN,X,6
healthvest,missed,payment,bank,NP,VBD,NN,NP,6
million,principal,payments,owed,AB,NN,NNS,VBD,6
uXsX,cellular,markets,mccaw,NP,JJ,NNS,NP,5
mccaw,holds,X,contiguous,NP,VBZ,X,JJ,5
unless,lin,contiguous,X,IN,NP,JJ,X,5
Xs,best,X,X,POS,JJS,X,X,4
company,Xs,X,X,NN,POS,X,X,5
far,less,X,proceeding,RB,JJR,X,VBG,6
X,higher,margins,negligible,X,JJR,NNS,JJ,6
decline,brazilian,paid,X,NN,JJ,VBN,X,6
PERCENT,net,margin,X,NN,JJ,NN,X,6
pacific,X,transportation,X,NP,X,NN,X,5
pursue,business,X,capital,VB,NN,X,NP,3
degree,public,XX,stake,NN,JJ,XX,NN,4
direction,uXsX,rates,remained,NN,NP,NNS,VBD,6
property,owners,san,francisco,NN,NNS,NP,NP,5
still,hanging,rates,dollar,RB,VBG,NNS,NN,6
X,X,rateXsensitive,shares,X,X,JJ,NNS,6
X,allowing,rates,drop,X,VBG,NNS,VB,6
Xs,equity,south,africa,POS,NN,NP,NP,5
sold,majority,brazilian,affiliate,VBD,NN,JJ,NN,5
10,PERCENT,rocky,mountain,AB,NN,NP,NP,5
like,high,rates,slow,IN,JJ,NNS,JJ,6
unresponsive,public,X,X,JJ,JJ,X,X,4
view,public,X,X,NN,JJ,X,X,4
longing,lower,rates,X,NN,JJR,NNS,X,6
XX,low,rates,X,X,JJ,NNS,X,6
nXt,accruing,X,bank,RB,VBG,X,NN,6
wine,softXdrink,X,nXt,NN,NN,X,RB,5
bolster,brewing,X,effort,VB,NN,X,NN,5
britain,X,include,beefeater,NP,X,VBP,NP,5
reserve,lower,rates,coming,NP,VB,NNS,VBG,6
contrary,best,amr,shareholders,JJ,JJS,NP,NNS,4
louis,company,solid,waste,NP,NN,JJ,NN,5
value,X,accruing,instead,NN,X,VBG,RB,6
X,accrued,deductible,company,X,VBN,JJ,NN,6
million,buyXout,payments,X,AB,NN,NNS,X,6
company,rather,payments,X,NN,RB,NNS,X,6
since,lower,rate,X,IN,JJR,NN,X,6
nXt,pay,least,one,RB,VB,JJS,AB,6
deny,deduction,actually,paid,VB,NN,RB,VBN,6
taxed,accrued,X,X,VBN,VBN,X,X,6
X,XX,deduction,engine,X,XX,NN,NN,6
northrop,Xs,expense,also,NP,POS,NN,RB,6
X,X,expense,surged,X,X,NN,VBD,6
bump,entrenched,X,X,VB,JJ,X,X,4
recent,declines,rates,X,JJ,NNS,NNS,X,6
X,computing,government,Xs,X,VBG,NN,POS,6
shares,purchase,startXup,company,NNS,VB,JJ,NN,5
acquire,majority,later,X,VB,NN,RB,X,5
250,million,costs,X,AB,AB,NNS,X,6
best,longXterm,shareholders,X,JJS,JJ,NNS,X,4
X,initial,rate,set,X,JJ,NN,VBN,6
X,X,payments,bonds,X,X,NNS,NNS,6
taxation,principal,X,X,NN,NN,X,X,6
determine,XX,rates,heading,VB,XX,NNS,VBG,6
X,X,rates,barely,X,X,NNS,RB,6
XX,different,XX,express,XX,JJ,XX,VB,3
people,heard,taken,seriously,NNS,VBN,VBN,RB,4
X,widespread,manufacturing,X,X,JJ,NN,X,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
X,stir,stock,X,X,VB,NN,X,1
offset,lower,income,X,VBN,JJR,NN,X,6
X,primarily,expense,X,X,RB,NN,X,6
X,X,expense,1988,X,X,NN,AB,6
offers,significant,rate,savings,VBZ,JJ,NN,NNS,6
50,PERCENT,working,woman,AB,NN,NP,NP,5
50,PERCENT,working,woman,AB,NN,NP,NP,5
taxes,minority,increased,16,NNS,NN,VBD,AB,5
taxes,minority,extraordinary,items,NNS,NN,JJ,NNS,5
sotheby,Xs,property,catalog,NP,POS,NN,NN,5
level,financial,XX,collection,NN,JJ,XX,NN,5
works,financial,X,XX,NNS,JJ,X,XX,5
recent,moves,rates,around,JJ,NNS,NNS,IN,6
bonds,average,rate,13X1,NNS,JJ,NN,AB,6
million,year,payments,X,AB,NN,NNS,X,6
good,investment,rates,going,JJ,NN,NNS,VBG,6
acting,public,let,washington,VBG,JJ,VBD,NP,4
weigh,heavily,rateXsensitive,stocks,VBP,RB,JJ,NNS,6
found,buying,actively,sold,VBD,NN,RB,VBN,1
posts,pursue,X,X,NNS,VB,X,X,3
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
Xs,chemicals,include,X,POS,NNS,VBP,X,5
generous,best,mesa,shareholders,JJ,JJS,NP,NNS,4
report,fees,current,income,VB,NNS,JJ,NN,6
XX,X,words,goes,XX,X,NNS,VBZ,1
kindled,export,among,many,VBN,NN,IN,JJ,1
balcor,X,real,estate,NP,X,JJ,NN,5
resigned,pursue,X,positions,VBD,VB,X,NNS,3
X,primarily,radio,television,X,RB,NN,NN,5
important,uXsX,X,X,JJ,NP,X,X,4
X,satisfying,priority,panamanian,X,VBG,NN,JJ,4
credit,lower,rates,X,NN,VB,NNS,X,6
pXg,Xs,federal,level,NP,POS,JJ,NN,4
80,PERCENT,firm,may,AB,NN,NN,NP,5
projections,earnings,X,tax,NNS,NNS,X,NN,6
X,X,imposed,unpaid,X,X,VBN,JJ,6
lid,shortXterm,rates,X,NN,JJ,NNS,X,6
key,shortXterm,rate,decline,JJ,JJ,NN,VB,6
bank,said,payments,argentina,NN,VBD,NNS,NP,6
drop,net,margin,13,NN,JJ,NN,AB,6
Xs,net,income,rose,POS,JJ,NN,VBD,6
gain,sale,foreign,leasing,NN,NN,JJ,NN,5
X,net,marginXthe,difference,X,JJ,NN,NN,6
expenses,unrelated,rose,5X4,NNS,JJ,VBD,AB,6
sources,unrelated,said,continues,NNS,JJ,VBD,VBZ,6
X,net,income,third,X,JJ,NN,JJ,6
think,best,caci,stockholders,VBP,JJS,NP,NNS,4
keep,lid,rates,boost,VB,NN,NNS,VB,6
ranchers,X,preserving,herds,NNS,X,VBG,NNS,4
growing,uXsX,nation,Xs,VBG,NP,NN,POS,1
profit,taxes,costs,X,NN,NNS,NNS,X,6
conduct,public,hence,criminal,NN,JJ,RB,JJ,4
despite,falling,rates,X,IN,VBG,NNS,X,6
branches,greater,last,day,NNS,JJR,JJ,NN,1
closely,follow,rate,trends,RB,VB,NN,NNS,6
april,X,rates,recent,NP,X,NNS,JJ,6
unlikely,shortXterm,rates,rise,JJ,JJ,NNS,VB,6
discussed,sale,showtime,cable,VBN,NN,NP,NN,5
federal,funds,rate,dip,JJ,NNS,NN,VB,6
selling,equity,japanese,joint,VBG,NN,JJ,NN,5
X,average,rate,fell,X,JJ,NN,VBD,6
nXt,lost,X,X,RB,VBN,X,X,1
failed,make,payments,nearly,VBD,VB,NNS,RB,6
notes,bear,5X5,PERCENT,NNS,VB,AB,NN,6
XX,expressions,transaction,borrowers,XX,NNS,NN,NNS,1
corpX,X,expressed,buyXout,NP,X,VBN,NN,1
despite,renewed,public,topics,IN,VBN,NN,NNS,1
X,advertiser,X,X,X,NN,X,X,1
seem,lost,whole,subject,VBP,VBN,JJ,NN,1
hoping,stir,old,masters,VBG,VB,JJ,NNS,1
clients,express,paintings,nXt,NNS,VBP,NNS,RB,1
X,protecting,X,X,X,VBG,X,X,4
15,PERCENT,datatimes,corpX,AB,NN,NP,NP,5
6X25,PERCENT,rates,X,AB,NN,NNS,X,6
corpX,equity,kia,X,NP,NN,NP,X,5
X,bring,rates,X,X,VB,NNS,X,6
says,X,rates,far,VBZ,X,NNS,RB,6
X,annualized,rates,certain,X,VBN,NNS,JJ,6
industrial,gas,expand,subsidiary,JJ,NN,VB,NN,5
51,PERCENT,makro,inc,AB,NN,NP,NP,5
revival,institutional,smaller,growth,NN,JJ,JJR,JJ,1
real,turnaround,small,growth,JJ,NN,JJ,NN,1
changes,income,dividends,X,NNS,NN,NNS,X,6
balked,low,rate,banking,VBD,JJ,NN,NN,6
bank,fees,X,nXt,NN,NNS,X,RB,6
X,X,rates,X,X,X,NNS,X,6
nXt,lower,rates,weaken,RB,VB,NNS,VB,6
pay,lower,rates,X,VBP,JJR,NNS,X,6
billion,including,10,years,AB,VBG,AB,NNS,6
X,net,income,sank,X,JJ,NN,VBD,6
X,X,rate,shortXterm,X,X,NN,JJ,6
2,million,payments,medium,AB,AB,NNS,JJ,6
X,net,income,would,X,JJ,NN,MD,6
X,accruing,X,net,X,VBG,X,JJ,6
10,million,income,third,AB,AB,NN,JJ,6
income,sources,climbed,12,NN,NNS,VBD,AB,6
Xs,net,margin,southeast,POS,JJ,NN,NP,6
increase,net,income,X,NN,JJ,NN,X,6
Xs,net,margin,fell,POS,JJ,NN,VBD,6
revenue,derived,dividends,jumped,NN,VBN,NNS,VBD,6
company,Xs,national,car,NN,POS,NP,NP,5
including,net,X,slightly,VBG,JJ,X,RB,6
economy,working,rates,X,NN,VBG,NNS,X,6
national,economic,much,better,JJ,JJ,RB,RB,4
allowing,private,bankers,investors,VBG,JJ,NNS,NNS,4
attracted,public,X,underlying,VBN,JJ,X,JJ,1
taxation,minority,14,million,NN,NN,AB,AB,5
X,shortXterm,rates,fell,X,JJ,NNS,VBD,6
X,X,X,X,X,X,X,X,1
rate,higher,income,X,NN,JJR,NN,X,6
15,PERCENT,birkel,X,AB,NN,NP,X,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
together,trading,region,X,RB,NN,NN,X,5
expects,drop,rates,X,VBZ,NN,NNS,X,6
holding,company,oil,natural,VBG,NN,NN,JJ,5
56,PERCENT,new,field,AB,NN,JJ,NN,5
X,X,owned,bp,X,X,VBN,NP,5
liquidity,X,rate,loans,NN,X,NN,NNS,6
expect,potential,banks,throughout,VBP,JJ,NNS,IN,1
allowing,key,rate,drift,VBG,JJ,NN,VB,6
federal,funds,rate,dip,JJ,NNS,NN,VB,6
X,influences,rates,X,X,VBZ,NNS,X,6
bring,shortXterm,rates,X,VB,JJ,NNS,X,6
supply,lower,rates,easy,VB,JJR,NNS,JJ,6
could,lower,rates,obstinate,MD,VB,NNS,JJ,6
lower,shortXterm,rates,pumping,VB,JJ,NNS,VBG,6
right,X,rates,go,RB,X,NNS,VB,6
XX,concerning,lockheed,X,XX,VBG,NP,X,5
additional,increase,rates,X,JJ,NN,NNS,X,6
concerns,earnings,rates,rather,NNS,NNS,NNS,RB,6
Xs,base,rate,stands,POS,NN,NN,VBZ,6
pressure,lower,rates,X,NN,VB,NNS,X,6
simmons,Xs,company,X,NP,POS,NN,X,1
1987,X,rates,nXt,AB,X,NNS,RB,6
quickly,lower,rates,X,RB,VB,NNS,X,6
move,lower,rates,X,NN,VB,NNS,X,6
germany,raised,rates,X,NP,VBD,NNS,X,6
nXt,lower,rates,merely,RB,VB,NNS,RB,6
tax,deductibility,certain,debtXfinanced,NN,NN,JJ,JJ,6
government,bond,rates,X,NN,NN,NNS,X,6
flow,pay,X,X,NN,VB,X,X,6
X,fees,rates,paid,X,NNS,NNS,VBN,6
banks,expressed,ual,transaction,NNS,VBN,NP,NN,1
count,years,income,loans,VB,NNS,NN,NNS,6
X,X,rate,promised,X,X,NN,VBD,6
narrowing,difference,rates,uXsX,VBG,NN,NNS,NP,6
begun,reduce,rates,could,VBN,VB,NNS,MD,6
X,lower,rates,usually,X,JJR,NNS,RB,6
concluded,uXsX,rates,would,VBD,NP,NNS,MD,6
official,domestic,rates,X,JJ,JJ,NNS,X,6
raising,X,X,rates,VBG,X,X,NNS,6
lower,uXsX,rates,X,JJR,NP,NNS,X,6
statement,XX,fair,orderly,NN,XX,JJ,JJ,4
corpX,sold,parisian,chain,NP,VBN,JJ,NN,5
buy,hooker,company,X,VB,NP,NN,X,5
weak,X,rates,rising,JJ,X,NNS,VBG,6
100,PERCENT,well,X,AB,NN,NN,X,5
broader,business,better,cushioned,JJR,NN,RBR,VBN,5
pXg,Xs,superconcentrated,detergent,NP,POS,JJ,NN,1
uXsX,agencies,korean,agencies,NP,NNS,JJ,NNS,5
X,pessimism,rates,caused,X,NN,NNS,VBN,6
unlikely,allow,rates,fall,JJ,VB,NNS,VB,6
losses,caused,payments,debt,NNS,VBN,NNS,NN,6
given,banks,loans,used,VBN,NNS,NNS,VBN,6
postpone,cash,payments,X,VBP,NN,NNS,X,6
given,current,rates,X,VBN,JJ,NNS,X,6
1987,X,rates,falling,AB,X,NNS,VBG,6
board,ease,rates,much,NP,VB,NNS,RB,6
cellular,telephone,X,separate,JJ,NN,X,JJ,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
acquiring,minority,X,X,VBG,NN,X,X,5
resulting,decline,rates,value,VBG,NN,NNS,NN,6
effects,lower,rates,lower,NNS,JJR,NNS,JJR,6
bring,shortXterm,rates,effort,VB,JJ,NNS,NN,6
lowered,key,rate,known,VBD,JJ,NN,VBN,6
securities,pay,X,X,NNS,VBP,X,X,6
pursue,personal,X,X,VB,JJ,X,X,3
X,also,military,electronics,X,RB,JJ,NNS,5
X,annual,rate,next,X,JJ,NN,JJ,6
valued,X,rates,lower,VBN,X,NNS,JJR,6
Xs,base,rate,X,POS,NN,NN,X,6
companies,bank,follows,similar,NNS,NN,VBZ,JJ,5
weight,hefty,payments,X,NN,JJ,NNS,X,6
caused,tardy,payments,put,VBD,JJ,NNS,VB,6
significant,shift,rate,outlook,JJ,NN,NN,NN,6
billion,coupon,payments,X,AB,NN,NNS,X,6
would,default,payments,covering,MD,VB,NNS,VBG,6
X,suspended,payments,X,X,VBN,NNS,X,6
unlikely,pay,total,X,JJ,VB,NN,X,6
1980s,compound,reaching,X,AB,JJ,NN,X,6
exorbitant,compound,X,X,JJ,NN,X,X,6
businesses,borrowing,rates,higher,NNS,VBG,NNS,JJR,6
british,airways,companies,fly,NP,NPS,NNS,VBP,5
X,X,income,fee,X,X,NN,NN,6
bank,skim,X,X,NN,VB,X,X,6
topics,mutual,X,said,NNS,JJ,X,VBD,4
nbc,Xs,may,revive,NP,POS,MD,VB,1
X,minority,programXmaker,without,X,NN,NN,IN,5
nbc,Xs,qintex,bid,NP,POS,NP,NN,1
ought,stand,X,Xs,MD,VB,X,VBZ,4
warner,protecting,X,X,NP,VBG,X,X,4
citic,pay,rate,0X5,NP,VB,NN,AB,6
calculate,exact,rate,currency,VB,JJ,NN,NN,6
officials,expect,rates,decline,NNS,VBP,NNS,VB,6
think,fit,people,X,VBP,JJ,NNS,X,4
exchange,rates,rates,X,NN,NNS,NNS,X,6
inflation,high,rates,X,NN,JJ,NNS,X,6
possibility,uXsX,rates,cut,NN,NP,NNS,NN,6
X,shortXterm,rates,already,X,JJ,NNS,RB,6
PERCENT,controlling,honeywell,bull,NN,VBG,NP,NP,5
narrowing,difference,rates,loans,VBG,NN,NNS,NNS,6
said,much,company,recently,VBD,JJ,NN,RB,1
reserve,allowing,rates,ease,NP,VBG,NNS,VB,6
PERCENT,true,cost,X,NN,JJ,NN,X,6
bonds,X,rates,inflation,NNS,X,NNS,NN,6
green,sold,shellerXglobe,united,NP,VBD,NP,NP,5
reduced,uXsX,panama,nXt,VBN,NP,NP,RB,1
federal,pensions,payments,XX,JJ,NNS,NNS,X,6
move,lower,rates,XX,NN,VB,NNS,XX,6
support,falling,rates,X,NN,VBG,NNS,X,6
combined,change,rates,reminding,VBN,NN,NNS,VBG,6
cellular,telephone,X,separate,JJ,NN,X,JJ,5
operating,profit,corporate,expense,NN,NN,JJ,NN,6
pound,high,rates,long,NN,JJ,NNS,JJ,6
losses,caused,payments,debt,NNS,VBN,NNS,NN,6
postpone,cash,payments,X,VBP,NN,NNS,X,6
selfXinterest,marketplace,society,XX,NN,NN,NN,XX,4
moves,cut,rates,X,NNS,VB,NNS,X,6
X,priced,rate,float,X,VBN,NN,VB,6
performance,high,rates,must,NN,JJ,NNS,MD,6
rise,net,revenue,X,NN,JJ,NN,X,6
points,net,margin,yearXago,NNS,JJ,NN,JJ,6
period,declining,rates,X,NN,VBG,NNS,X,6
restructuring,reduced,rate,large,NN,VBN,NN,JJ,6
westmin,X,oil,X,NP,X,NN,X,5
loans,made,rates,fees,NNS,VBN,NNS,NNS,6
sell,majority,italianXbased,landini,VB,NN,JJ,NP,5
XX,minority,landini,company,XX,NN,NP,NN,5
nXt,lower,rates,rein,RB,VB,NNS,VB,6
X,X,adjustable,X,X,X,JJ,X,6
19,14,X,X,AB,AB,X,X,6
bonds,lower,payments,X,NNS,VB,NNS,X,6
carrying,costs,dividends,risen,NN,NNS,NNS,VBN,6
terms,provide,could,reset,NNS,VBP,MD,NN,6
business,caused,junk,bonds,NN,VBD,NN,NNS,6
Xs,annual,payments,X,POS,JJ,NNS,X,6
say,equity,would,divided,VB,NN,MD,VBN,5
resigned,pursue,X,X,VBD,VB,X,X,3
said,XX,XX,merger,VBD,XX,XX,NN,1
ge,X,electrical,products,NP,X,JJ,NNS,5
citing,decline,rates,X,VBG,NN,NNS,X,6
forecasts,inflation,rates,year,NNS,NN,NNS,NN,6
